name,id,key,potid,potkey,units,atom_style,allsymbols,pair_style,status,symbols,elements
MO_732106099012,SNAP_ZuoChenLi_2019_Li__MO_732106099012_000,91c5fc4b-6875-4f46-ac3a-b142f45dc9b3,2020--Zuo-Y-Chen-C-Li-X-et-al--Li-SNAP,7d10c099-1f3a-4e29-a640-b4ff4e9aec47,metal,atomic,False,kim,active,['Li'],['Li']
MO_737567242631,EAM_Dynamo_BonnyCastinBullens_2013_FeW__MO_737567242631_000,f2cdb3a7-5cd2-4d5e-9d02-a845c8ebcd1e,2013--Bonny-G-Castin-N-Bullens-J-et-al--Fe-W,64d55ff4-a0d4-4eb6-897f-56c6d3c0154e,metal,atomic,False,kim,active,"['Fe', 'W']","['Fe', 'W']"
MO_744610363128,MEAM_LAMMPS_MaiselKoZhang_2017_VNiTi__MO_744610363128_000,NOT FOUND,,,metal,atomic,False,kim,active,[],[]
MO_748534961139,EAM_Dynamo_Ackland_1992_Ti__MO_748534961139_005,e991a504-7e4f-4873-88d9-53fb6de37784,1992--Ackland-G-J--Ti,8a634ace-23df-4e28-8041-007bd0e11cfb,metal,atomic,False,kim,active,['Ti'],['Ti']
MO_748636486270,EAM_Dynamo_MendelevKing_2013_Cu__MO_748636486270_005,c32a64f6-18a7-4d5a-a3e1-24d58964959f,2013--Mendelev-M-I-King-A-H--Cu,6e89fdb2-4d7f-4032-a14d-53f7d1c8f2eb,metal,atomic,False,kim,active,['Cu'],['Cu']
MO_749732139672,Morse_Shifted_GirifalcoWeizer_1959LowCutoff_K__MO_749732139672_004,a3435dfa-d71b-45fd-b3cd-3c9dc9bf7282,1959--Girifalco-L-A-Weizer-V-G--K,4a0e4ca0-051d-48dc-81b9-eb6af527628a,metal,atomic,False,kim,active,['K'],['K']
MO_751354403791,EAM_Dynamo_PunMishin_2009_NiAl__MO_751354403791_005,f29d4405-f860-49ff-ba1b-d16d35f76eac,2009--Purja-Pun-G-P-Mishin-Y--Ni-Al,d71da5f1-db8a-46ad-a78d-c026768200af,metal,atomic,False,kim,active,"['Ni', 'Al']","['Ni', 'Al']"
MO_754413982908,EAM_Dynamo_Ackland_1987_Au__MO_754413982908_000,95ccd8ee-7868-42e0-8590-38944c374bf9,1987--Ackland-G-J-Tichy-G-Vitek-V-Finnis-M-W--Au,25899e46-6992-460a-b1c7-fb2704629e9f,metal,atomic,False,kim,active,['Au'],['Au']
MO_754498969542,Morse_Shifted_GirifalcoWeizer_1959LowCutoff_Rb__MO_754498969542_004,5b6a1258-8f4a-4fcc-a751-a34bd15a133b,1959--Girifalco-L-A-Weizer-V-G--Rb,da503e28-b44f-4759-92d1-bcb5c8ceaceb,metal,atomic,False,kim,active,['Rb'],['Rb']
MO_757342646688,EAM_Dynamo_FoilesBaskesDaw_1986Universal3_Pt__MO_757342646688_000,d4aae854-9766-48cf-87ba-64fe8f6bf86c,1986--Foiles-S-M-Baskes-M-I-Daw-M-S--Pt,87657840-e5e6-4378-94ea-381a90608142,metal,atomic,False,kim,active,['Pt'],['Pt']
