name,key,id,sourcename,sourcelink,crystalfamily,natypes,symbols,composition,a,b,c,alpha,beta,gamma,natoms
mp-20169,180baf9c-83cd-4592-bf20-f5f6a76db413,mp-20169,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Ce', 'O']",Ce2O3,5.51473809,5.514738090000023,5.89266193,90.0,90.0,119.99999999999986,5.0
mp-2018,49caacc8-2f9c-4cd5-83b6-719d3a5c2928,mp-2018,Materials Project,https://materialsproject.org/,cubic,2.0,"['Al', 'Fe']",AlFe3,5.7452472625981,5.7452472625981,5.7452472625981,90.0,90.0,90.0,16.0
mp-20194,d1f12516-0a15-40f7-9b5d-851267ce6f43,mp-20194,Materials Project,https://materialsproject.org/,cubic,2.0,"['Ce', 'O']",CeO2,5.4674503693211,5.4674503693211,5.4674503693211,90.0,90.0,90.0,12.0
mp-20211,e81faf7e-39de-45c4-bdc6-3c6fdfecab3e,mp-20211,Materials Project,https://materialsproject.org/,cubic,2.0,"['Mn', 'Si']",Mn3Si,5.656670005749473,5.656670005749473,5.656670005749473,90.0,90.0,90.0,16.0
mp-20351,c03ccdf1-01d4-469a-9e4c-fe261bb91273,mp-20351,Materials Project,https://materialsproject.org/,cubic,2.0,"['In', 'P']",InP,5.9567250541729,5.9567250541729,5.9567250541729,90.0,90.0,90.0,8.0
mp-20372,4815abfb-f7ff-4a69-9251-ec872212e5e4,mp-20372,Materials Project,https://materialsproject.org/,hexagonal,1.0,['Ce'],Ce,3.34854059,3.3485405899999723,11.00244966,90.0,90.0,120.00000000000028,4.0
mp-20411,8abf96bf-e690-4bb5-b78b-6324d29b3cb9,mp-20411,Materials Project,https://materialsproject.org/,cubic,2.0,"['In', 'N']",InN,5.054051997639066,5.054051997639066,5.054051997639066,90.0,90.0,90.0,8.0
mp-20457,e70329ce-6bda-4c59-8d1a-35f6528207a7,mp-20457,Materials Project,https://materialsproject.org/,cubic,2.0,"['In', 'P']",InP,5.5376679367002,5.5376679367002,5.5376679367002,90.0,90.0,90.0,8.0
mp-20483,faa01ac5-0249-4521-b1a0-f1c0f3d1c0cd,mp-20483,Materials Project,https://materialsproject.org/,cubic,1.0,['Pb'],Pb,5.0551650112328,5.0551650112328,5.0551650112328,90.0,90.0,90.0,4.0
mp-2064,7bfb9c13-46d2-4e12-b453-8b0199943344,mp-2064,Materials Project,https://materialsproject.org/,cubic,2.0,"['F', 'Rb']",FRb,3.4549664,3.4549664,3.4549664,90.0,90.0,90.0,2.0
mp-20736,c84bc751-98bd-4bfc-ba92-543709933aa9,mp-20736,Materials Project,https://materialsproject.org/,hexagonal,1.0,['Ce'],Ce,3.2610261,3.261026100000006,5.75632452,90.0,90.0,119.99999999999994,2.0
mp-20738,6e7365d8-5586-4c9b-b675-8d97a6249256,mp-20738,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['Fe', 'Si']",FeSi2,2.70596741,2.70596741,5.14022209,90.0,90.0,90.0,3.0
mp-20745,5bc866e2-7200-4b2c-8a94-d0caf367cf94,mp-20745,Materials Project,https://materialsproject.org/,hexagonal,1.0,['Pb'],Pb,3.54838825,3.5483882499999932,5.84127516,90.0,90.0,120.00000000000006,2.0
mp-20812,1f3bf0bd-8f80-4c23-a0df-a4e474878698,mp-20812,Materials Project,https://materialsproject.org/,cubic,2.0,"['In', 'N']",InN,4.709441994619289,4.709441994619289,4.709441994619289,90.0,90.0,90.0,8.0
mp-20868,7773c4e5-8d3b-498e-addb-5f14cc47385b,mp-20868,Materials Project,https://materialsproject.org/,hexagonal,2.0,"['Fe', 'W']",Fe2W,4.67955212,4.679552119999977,7.79476658,90.0,90.0,120.00000000000017,12.0
mp-20885,b26b307a-42cb-464f-99a0-9476903a5444,mp-20885,Materials Project,https://materialsproject.org/,cubic,2.0,"['Fe', 'P']",Fe4P,4.1376295866667,4.1376295866667,4.1376295866667,90.0,90.0,90.0,5.0
mp-2090,66b478b6-102a-467d-8eaa-63f909156734,mp-2090,Materials Project,https://materialsproject.org/,cubic,2.0,"['Co', 'Fe']",CoFe,2.84344575,2.84344575,2.84344575,90.0,90.0,90.0,2.0
mp-20994,9a9040da-c73a-4f2a-9fe4-6476afc2c409,mp-20994,Materials Project,https://materialsproject.org/,tetragonal,2.0,"['O', 'Ta']",O2Ta,4.98779639,4.98779639,2.90094893,90.0,90.0,90.0,6.0
